Company,URL,Company Description,All Investors,Total Funding,Sector,Industry,Sub-Industry,Country,State,City,Phone,Email,VC Backed,Exit Round,Exit Date,Last Funding Round,Last Funding Date,Last Funding Amount,Last Funding Simplified Round,Last Funding Investors,Min Valuation,Max Valuation,Min Price/Sales Ratio,Max Price/Sales Ratio,Continent,Private Collections,Expert Collections,Twitter Score,# Twitter Followers,Twitter Engagement,Followers to Following,Twitter Followers Growth,Twitter Mentions Growth,Twitter Handle
CASI Pharmaceuticals,http://www.casipharmaceuticals.com,"CASI Pharmaceuticals, formerly EntreMed, is a biopharmaceutical company focused on the acquisition, development, and commercialization of innovative therapeutics addressing CANCER and other unmet medical needs for the global market, with a focus on China and the U.S. The company's mission is to become an integrated biopharmaceutical company with significant market share in China, while establishing partnerships for global development and commercialization.",Abingworth;Celgene;Dafna Capital Management;Domain Associates;Downsview Capital;Enable Capital Management;Fort Mason Capital;HBK Investments;Heights Capital Management;Highbridge Capital Management;Iroquois Capital Group;Kleiner Perkins Caufield & Byers;LBI Group;Nite Capital Management;Oliveira Capital;OrbiMed Advisors;Perceptive Advisors;Public;Quogue Capital;SDS Capital Partners;Straus Capital Management;Xmark Opportunity Partners,,Healthcare,Biotechnology,,United States,Maryland,Rockville,240-864-2600,,Yes,IPO,1996/06/13,Unattributed VC,,,Venture Capital,Kleiner Perkins Caufield & Byers,,,,,North America,,Smart Money VCs;Pharma Startups;Cancer Therapeutics,,,,,,,
CDx,http://www.cdxlife.com,"CDx offers a product called, MyDx, aka ""My Diagnostic"", which leverages the latest in nanotechnology to accurately measure chemicals of interest in practically any solid, liquid, or gas from a user's location in real time. Users can discover what they have been eating, drinking, and breathing with just one hand held portable analyzer.",MyDx;Undisclosed Investors;Undisclosed Venture Investors,60.38,Mobile & Telecommunications,Mobile Software & Services,Health & Wellness,United States,California,La Jolla,858-434-0705,info@cdxlife.com,Yes,Reverse Merger,2015/05/05,Unattributed,2015/03/06,6.92,Undisclosed,Undisclosed Investors,,,,,North America,,Digital Health;Internet of Things ( IoT ),,43296,0.4,1.05,1186.00%,-33.00%,@MyDxLife
CHF Solutions,http://www.chf-solutions.com,CHF Solutions designs and manufactures a device that reduces the time needed to remove excess fluid from patients suffering from fluid overload.,Ascension Ventures;Brightstone Venture Capital;Gambro;Investor Growth Capital;Kaiser Permanente Ventures;Mason Wells;MPM Capital;Public;SV Health Investors;Undisclosed Investors;Undisclosed Venture Investors;Zesiger Capital Group,32.3,Healthcare,Medical Devices & Equipment,Patient Monitoring,United States,Minnesota,Eden Prairie,952-345-4200,support@chf-solutions.com,Yes,IPO - II,2012/02/02,Series D,2002/07/16,26.2,Series D,MPM Capital;Zesiger Capital Group;Investor Growth Capital;Mason Wells;Brightstone Venture Capital,,,,,North America,,Medical Devices,,,,,,,
CO Liquidation,,"CO Liquidation is a Internet/Internet Software & Services company based in San Francisco, California. CO Liquidation's investors include Canaan Partners, Focus Ventures, Rho Capital Partners, Foundation Capital, Morgan Stanley Venture Partners, SAP Ventures, GE Equity and MCI Systemhouse.",BayStar Capital;Canaan Partners;Comvest Partners;DCC Ventures;Focus Ventures;Foundation Capital;GE Capital;MCI Systemhouse;Morgan Stanley;Public;Rho Ventures;Sapphire Ventures;Winfield,446.5,Internet,Internet Software & Services,,United States,California,San Francisco,800-628-2761,,Yes,IPO,2004/06/07,Unattributed VC - VI,2003/12/05,5,Venture Capital,DCC Ventures;Comvest Partners,,,,,North America,,,,,,,,,
CRISPR Therapeutics,http://www.crisprtx.com,"Crispr Therapeutics is a biopharmaceutical company focused on translating CRISPR/Cas9 gene-editing technology into medicines for serious diseases, based on foundational patent estate licensed from scientific founder Emmanuelle Charpentier, Ph.D. (who co-invented the application of CRISPR/Cas9 for gene editing).",Abingworth;Bayer;Celgene;Clough Global;Franklin Templeton Investments;New Enterprise Associates;New Leaf Venture Partners;Novo Ventures;Public;SR One;Versant Ventures;Wellington Management,162,Healthcare,Biotechnology,,United States,Massachusetts,Cambridge,617-315-4600,info@crisprtx.com,Yes,IPO,2016/10/19,Series B - II,2016/06/24,38,Series B,New Leaf Venture Partners;Novo Ventures;Wellington Management;Franklin Templeton Investments;Clough Global,556.47,556.47,,,North America,,Smart Money VCs;Synthetic Biology;Pharma Startups,,,,,,,
CUR Media,http://www.curmusic.com,"CUR Media, formerly Raditaz, is a hybrid music streaming service for mobile devices and the web that intersects Internet radio services like Pandora and on-demand services like Spotify.",Connecticut Innovations;Duane Street Corp.,0.15,Mobile & Telecommunications,Mobile Software & Services,Music,United States,Connecticut,South Glastonbury,,info@curmusic.com,Yes,Reverse Merger,2014/01/30,Seed VC,2012/03/12,0.15,Seed VC,Connecticut Innovations,,,,,North America,,Portfolio Company Matchmaking M&A,,374,0,2.11,-100.00%,,@Raditaz
Calithera Biosciences,http://www.calithera.com,"Calithera Biosciences, formerly Protein Activation Therapeutics, develops therapeutic approaches to the treatment of cancer by using small molecules to activate, rather than inhibit, enzymes. The company's first program is focused on developing activators of caspases, the proteases that induce apoptosis, for the treatment of cancer. The approach of discovering activators of enzymes has the potential to be a unique and broadly applicable technology platform for developing therapies to multiple oncology indications.",Advanced Technology Ventures;Delphi Ventures;Longwood Fund;Mission Bay Capital;Morgenthaler Ventures;Public;Qualifying Therapeutic Discovery Project;T. Rowe Price;Undisclosed Investors;US Venture Partners,101.24,Healthcare,Drug Development,,United States,California,South San Francisco,650-870-1000,info@calithera.com,Yes,IPO,2014/10/02,Series D,2014/07/31,16,Series D,Morgenthaler Ventures;Advanced Technology Ventures;Delphi Ventures,158.81,158.81,,,North America,,BIO 2016;Pharma Startups;Cancer Therapeutics,,,,,,,
Calix Networks,http://www.calix.com,"Calix isa communications equipment supplier focused solely on access solutions for broadband service delivery. Service providers deploy Calix access systems to enable a rich set of information,communication, and entertainment services and to expand their revenue base beyond connectivity. Calix access innovation helps service providers transform their networks from circuit to packet, narrowband to broadband, and copper to fiber. Calix has deployed millions of ports and tens of thousands of systems into hundreds of service provider networks throughout North America.",Azure Capital Partners;Credit Suisse;Foundation Capital;Integral Capital Partners;Kinetic Ventures;Menlo Ventures;Meritech Capital Partners;Public;RAIN Source Capital;Redpoint Ventures;Riverwood Capital;Silicon Valley Bank;Sprout Group;TeleSoft Partners;Undisclosed Venture Investors,241.57,Mobile & Telecommunications,Telecom Devices & Equipment,,United States,California,Petaluma,707-766-3000,,Yes,IPO,2010/03/27,Debt,2009/08/17,50,Debt,Silicon Valley Bank,60.878935,60.878935,,,North America,,Smart Money VCs,,,,,,,
Callaway Golf,http://www.callawaygolf.com,Callaway Golf (NYSE: ELY) is a provider of golf equipment and technology under the Callaway Golf and Odyssey brands.,Public;US Venture Partners,,Consumer Products & Services,Sporting Goods,,United States,California,Carlsbad,760-931-1771,,Yes,,,Unattributed VC,,,Venture Capital,US Venture Partners,,,,,North America,,,,1056,17,9.69,150.00%,89.00%,@Callaway
Cambridge Heart,http://www.cambridgeheart.com,"Cambridge Heart is a Healthcare/Medical Devices & Equipment company based in Tewksbury, Massachusetts. Cambridge Heart's investors include Bristol Capital Advisors, Alpha Capital Partners, Balestra Capital, SF Capital Partners, Bluegrass Growth Fund Partners, Tail Wind Fund, SDS Capital Partners and ProMed Capital.",AFB Fund;Alpha Capital Partners;Balestra Capital;Bluegrass Growth Fund Partners;Blumberg Capital;Bristol Capital Advisors;Medtronic;Morgan Stanley;ProMed Capital;Public;SDS Capital Partners;SF Capital Group;Tail Wind Fund;Undisclosed Venture Investors,11.58,Healthcare,Medical Devices & Equipment,,United States,Massachusetts,Tewksbury,978-654-7600,reimbursement@cambridgeheart.com,Yes,IPO,2005/01/20,Unattributed VC - II,2004/12/13,5,Venture Capital,ProMed Capital;Balestra Capital;Bristol Capital Advisors;SF Capital Group;SDS Capital Partners;Tail Wind Fund;Bluegrass Growth Fund Partners;Alpha Capital Partners,,,,,North America,,Medical Devices,,19,0,0.95,0.00%,,@CambridgeHeart
Capnia,http://www.capnia.com,"Capnia (NASDAQ:CAPN) is a provider and developer of healthcare products that utilize precision metering of gas flow for the screening, detection, and treatment of medical conditions. Capnia's products include Serenz Allergy Relief; the CoSense ETCO Monitor, which measures ETCO that can then be used to detect hemolysis; and the Infant Solutions product line, which includes pulmonary resuscitation devices for neonates and infants.",Alliance Venture;Asset Management Ventures;Biotechnology Development Fund;Helix Ventures;Public;Sagamore BioVentures;Teknoinvest;Undisclosed Venture Investors;Vivo Capital,45.11,Healthcare,Disease Diagnosis,,United States,California,Redwood City,650-213-8444,info@capnia.com,Yes,IPO,2014/11/13,Debt - III,2012/08/13,5.01,Debt,Vivo Capital;Teknoinvest,41.42,41.42,,,North America,,,,,,,,,
Capricor Therapeutics,http://www.capricor.com,"Capricor Therapeutics is a privately held biotechnology company that aims to create powerful, yet easy-to-administer cardiac stem cell treatments to regenerate damaged heart muscle and improve heart function for patients having suffered a heart attack. Using proprietary technology, Capricor is working to develop and commercialize therapies that utilize stem cells that are indigenous to the heart itself. Where most other organizations derive stem cells from a range of pre-cursor and non-cardiac tissues and then attempt to differentiate those cells to become and support heart tissue, Capricor's work begins and ends with the heart.",Broadview Ventures;Nile Therapeutics,2,Healthcare,Biotechnology,,United States,California,Beverly Hills,310-358-3200,info@capricor.com,Yes,Reverse Merger,2013/07/08,Series A,2010/12/20,2,Series A,Broadview Ventures,7.39841,7.39841,,,North America,,BIO 2016;Rare Diseases,,1887,0.36,9.25,475.00%,100.00%,@Capricor_News
Capstone Turbine,http://www.capstoneturbine.com,Capstone Turbine is the world leader in microturbines for distributed power generation and co-gen applications.,Canaan Partners;Element Partners;EnerTech Capital;Hydro-Quebec Capitech;M.A.G. Capital;Nth Power;Public;Rho Ventures;Sevin Rosen Funds;Star Ventures;Undisclosed Venture Investors;Winfield,181.95,Industrial,Machinery & Equipment,,United States,California,Chatsworth,818-734-5300,service@capstoneturbine.com,Yes,IPO,2000/06/29,Unattributed VC,2000/02/17,137.5,Venture Capital,Hydro-Quebec Capitech;Nth Power;Rho Ventures;EnerTech Capital;Canaan Partners;Winfield;Sevin Rosen Funds,1173.43,1173.43,,,North America,,green / clean tech,,557,0.4,4.57,125.00%,-33.00%,@CapstoneTurbine
Cara Therapeutics,http://www.caratherapeutics.com,"Cara Therapeutics is an emerging biotechnology company focused on developing novel therapeutics to treat human diseases associated with pain and inflammation. Cara possesses both near-term clinical development opportunities combined with proprietary approaches to developing first-in-class novel therapeutics. Cara's most advanced patented compound, CR845, is currently undergoing clinical testing for acute pain. This compound possesses analgesic and anti-inflammatory activities appropriate for multiple therapeutic applications. In addition, Cara aims to develop a future pipeline of first-in-class molecules at novel analgesic and anti-inflammatory targets using its proprietary drug screening technology.",Alta Partners;Ascent Biomedical Ventures;Connecticut Innovations;Devon Park Bioventures;Esperante;Healthcare Private Equity;Mitsubishi Corporation Life Sciences Ventures;MVM Life Science Partners;Public;Rho Ventures;Scottish Widows Investment Partnership,58,Healthcare,Drug Development,,United States,Connecticut,Shelton,203-567-1500,,Yes,IPO,2014/01/31,Series D,2010/07/19,15,Series D,Alta Partners;Mitsubishi Corporation Life Sciences Ventures;Devon Park Bioventures;Ascent Biomedical Ventures;Healthcare Private Equity;MVM Life Science Partners;Rho Ventures;Connecticut Innovations,240.26,240.26,21.86169245,21.86169245,North America,,Pharma Startups,,,,,,,
